code,population
N15_225," 34,483 "
N15_226," 54,851 "
N15_227," 28,509 "
N15_307," 14,259 "
N15_342," 7,705 "
N15_361," 11,227 "
N15_385," 9,965 "
N15_405," 4,113 "
N15_461," 7,767 "
N15_482," 8,989 "
N15_504," 4,380 "
N15_581," 5,144 "
N15_586, 353 
N16_000," 1,034,814 "
N16_201," 413,938 "
N16_202," 166,393 "
N16_204," 40,535 "
N16_205," 43,950 "
N16_206," 32,349 "
N16_207," 39,638 "
N16_208," 48,154 "
N16_209," 28,983 "
N16_210," 47,937 "
N16_211," 90,742 "
N16_321," 3,132 "
N16_322," 19,351 "
N16_323," 24,792 "
N16_342," 23,839 "
N16_343," 11,081 "
N17_000," 1,132,526 "
N17_201," 463,254 "
N17_202," 50,300 "
N17_203," 106,216 "
N17_204," 24,608 "
N17_205," 12,929 "
N17_206," 63,220 "
N17_207," 20,407 "
N17_209," 34,889 "
N17_210," 110,408 "
N17_211," 48,523 "
N17_212," 57,238 "
N17_324," 6,135 "
N17_361," 36,957 "
N17_365," 26,574 "
N17_384," 18,630 "
N17_386," 12,121 "
N17_407," 16,540 "
N17_461," 7,890 "
N17_463," 15,687 "
N18_000," 766,863 "
N18_201," 262,328 "
N18_202," 64,264 "
N18_204," 28,991 "
N18_205," 31,286 "
N18_206," 22,150 "
N18_207," 68,302 "
N18_208," 27,524 "
N18_209," 80,611 "
N18_210," 88,481 "
N18_322," 18,965 "
N18_382," 2,423 "
N18_404," 10,002 "
N18_423," 20,118 "
N18_442," 9,179 "
N18_481," 10,326 "
N18_483," 7,910 "
N18_501," 14,003 "
N19_000," 809,974 "
N19_201," 189,591 "
N19_202," 46,530 "
N19_204," 31,016 "
N19_205," 33,435 "
N19_206," 22,512 "
N19_207," 29,067 "
N19_208," 69,459 "
N19_209," 44,053 "
N19_210," 75,313 "
N19_211," 66,947 "
N19_212," 22,669 "
N19_213," 29,237 "
N19_214," 31,216 "
N19_346," 14,700 "
N19_364," 1,098 "
N19_365," 10,663 "
N19_366," 7,156 "
N19_368," 14,219 "
N19_384," 20,909 "
N19_422," 1,607 "
N19_423," 4,041 "
N19_424," 9,237 "
N19_425," 5,179 "
N19_429," 2,824 "
N19_430," 26,082 "
N19_442, 684 
N19_443, 530 
N20_000," 2,048,011 "
N20_201," 372,760 "
N20_202," 241,145 "
N20_203," 154,055 "
N20_204," 47,790 "
N20_205," 98,164 "
N20_206," 48,729 "
N20_207," 49,559 "
N20_208," 40,991 "
N20_209," 66,125 "
N20_210," 32,202 "
N20_211," 42,338 "
N20_212," 26,029 "
N20_213," 19,539 "
N20_214," 56,400 "
N20_215," 67,241 "
N20_217," 98,199 "
N20_218," 58,852 "
N20_219," 30,122 "
N20_220," 94,222 "
N20_303," 4,353 "
N20_304," 4,344 "
N20_305," 3,242 "
N20_306, 962 
N20_307, 752 
N20_309," 10,218 "
N20_321," 19,188 "
N20_323," 15,555 "
N20_324," 6,612 "
N20_349," 4,121 "
N20_350," 5,600 "
N20_361," 19,155 "
N20_362," 14,084 "
N20_363," 7,680 "
N20_382," 18,555 "
N20_383," 24,989 "
N20_384," 9,004 "
N20_385," 15,797 "
N20_386," 4,651 "
N20_388," 8,569 "
N20_402," 12,530 "
N20_403," 12,811 "
N20_404," 4,299 "
N20_407," 6,068 "
N20_409, 387 
N20_410, 852 
N20_411," 3,545 "
N20_412, 548 
N20_413," 1,178 "
N20_414," 1,542 "
N20_415," 5,973 "
N20_416," 6,426 "
N20_417," 1,023 "
N20_422," 4,131 "
N20_423," 3,915 "
N20_425," 2,692 "
N20_429, 715 
N20_430," 3,439 "
N20_432," 10,584 "
N20_446," 2,593 "
N20_448," 1,639 "
N20_450," 8,400 "
N20_451," 4,279 "
N20_452," 4,149 "
N20_481," 9,382 "
N20_482," 9,599 "
N20_485," 8,575 "
N20_486," 2,647 "
N20_521," 14,004 "
N20_541," 10,660 "
N20_543," 6,617 "
N20_561," 11,352 "
N20_562," 4,375 "
N20_563," 3,279 "
N20_583," 7,739 "
N20_588," 2,215 "
N20_590," 10,296 "
N20_602," 1,660 "
N21_000," 1,978,742 "
N21_201," 402,557 "
N21_202," 158,286 "
N21_203," 84,419 "
N21_204," 106,732 "
N21_205," 85,283 "
N21_206," 76,570 "
N21_207," 19,247 "
N21_208," 37,150 "
N21_209," 65,649 "
N21_210," 47,774 "
N21_211," 56,689 "
N21_212," 55,348 "
N21_213," 144,521 "
N21_214," 99,968 "
N21_215," 25,280 "
N21_216," 56,388 "
N21_217," 22,538 "
N21_218," 32,928 "
N21_219," 38,997 "
N21_220," 30,428 "
N21_221," 32,735 "
N21_302," 25,881 "
N21_303," 22,208 "
N21_341," 26,882 "
N21_361," 26,402 "
N21_362," 6,610 "
N21_381," 18,585 "
N21_382," 9,654 "
N21_383," 14,355 "
N21_401," 19,529 "
N21_403," 22,041 "
N21_404," 23,360 "
N21_421," 18,139 "
N21_501," 8,071 "
N21_502," 5,626 "
N21_503," 9,860 "
N21_504," 3,402 "
N21_505," 10,195 "
N21_506," 7,412 "
N21_507," 2,016 "
N21_521," 17,516 "
N21_604," 1,511 "
N22_000," 3,633,202 "
N22_100," 693,389 "
N22_101," 249,297 "
N22_102," 213,026 "
N22_103," 231,066 "
N22_130," 790,718 "
N22_131," 235,240 "
N22_132," 129,356 "
N22_133," 108,160 "
N22_134," 99,769 "
N22_135," 92,688 "
N22_136," 98,779 "
N22_137," 26,726 "
N22_203," 189,386 "
N22_205," 34,208 "
N22_206," 107,783 "
N22_207," 128,105 "
N22_208," 65,491 "
N22_209," 95,719 "
N22_210," 245,392 "
N22_211," 166,672 "
N22_212," 136,845 "
N22_213," 114,954 "
N22_214," 141,342 "
N22_215," 86,614 "
N22_216," 87,864 "
N22_219," 20,183 "
N22_220," 50,911 "
N22_221," 57,885 "
N22_222," 28,190 "
N22_223," 31,103 "
N22_224," 47,789 "
N22_225," 46,804 "
N22_226," 43,502 "
N22_301," 11,488 "
N22_302," 6,870 "
N22_304," 7,877 "
N22_305," 6,038 "
N22_306," 7,090 "
N22_325," 36,794 "
N22_341," 31,710 "
N22_342," 43,336 "
N22_344," 18,568 "
N22_424," 28,919 "
N22_429," 6,206 "
N22_461," 17,457 "
N23_000," 7,542,415 "
N23_100," 2,332,176 "
N23_101," 165,245 "
N23_102," 84,392 "
N23_103," 162,956 "
N23_104," 151,082 "
N23_105," 138,599 "
N23_106," 93,100 "
N23_107," 107,599 "
N23_108," 108,332 "
N23_109," 66,957 "
N23_110," 220,728 "
N23_111," 143,715 "
N23_112," 134,510 "
N23_113," 176,587 "
N23_114," 248,802 "
N23_115," 164,755 "
N23_116," 164,817 "
N23_201," 371,920 "
N23_202," 384,654 "
N23_203," 380,073 "
N23_204," 127,792 "
N23_205," 117,884 "
N23_206," 308,681 "
N23_207," 184,661 "
N23_208," 60,942 "
N23_209," 72,458 "
N23_210," 153,834 "
N23_211," 422,330 "
N23_212," 187,990 "
N23_213," 169,046 "
N23_214," 79,538 "
N23_215," 73,090 "
N23_216," 58,710 "
N23_217," 98,255 "
N23_219," 148,831 "
N23_220," 134,751 "
N23_221," 44,355 "
N23_222," 113,787 "
N23_223," 93,123 "
N23_224," 84,364 "
N23_225," 72,193 "
N23_226," 83,144 "
N23_227," 46,106 "
N23_228," 47,983 "
N23_229," 69,295 "
N23_230," 91,520 "
N23_231," 59,360 "
N23_232," 60,829 "
N23_233," 67,352 "
N23_234," 86,385 "
N23_235," 43,025 "
N23_236," 61,952 "
N23_237," 86,126 "
N23_238," 60,162 "
N23_302," 43,903 "
N23_342," 15,613 "
N23_361," 24,305 "
N23_362," 34,133 "
N23_424," 32,399 "
N23_425," 37,338 "
N23_427," 4,575 "
N23_441," 28,383 "
N23_442," 49,596 "
N23_445," 16,617 "
N23_446," 22,496 "
N23_447," 43,535 "
N23_501," 42,449 "
N23_561," 4,437 "
N23_562," 2,942 "
N23_563," 1,017 "
N24_000," 1,770,254 "
N24_201," 274,537 "
N24_202," 305,424 "
N24_203," 122,765 "
N24_204," 159,145 "
N24_205," 138,613 "
N24_207," 195,670 "
N24_208," 76,387 "
N24_209," 16,252 "
